Chiyoda,59441,5100,11.66
Chūō,147620,14460,10.21
Minato,248071,12180,20.37
Shinjuku,339211,18620,18.22
Bunkyō,223389,19790,11.29
Taitō,200486,19830,10.11
Sumida,260358,18910,13.77
Kōtō,502579,12510,40.16
Shinagawa,392492,17180,22.84
Meguro,280283,19110,14.67
Ōta,722608,11910,60.66
Setagaya,910868,15690,58.05
Shibuya,227850,15080,15.11
Nakano,332902,21350,15.59
Suginami,570483,16750,34.06
Toshima,294673,22650,13.01
Kita-Ku,345063,16740,20.61
Arakawa,213648,21030,10.16
Itabashi,569225,17670,32.22
Nerima,726748,15120,48.08
Adachi,674067,12660,53.25
Katsushika,447140,12850,34.8
Edogawa,685899,13750,49.9
Hachiōji,577254,3097,186.38
Tachikawa,180214,7398,24.36
Musashino,147607,13443,10.98
Mitaka,191408,11657,16.42
Ōme,134857,1305,103.31
Fuchū,263835,8965,29.43
Akishima,111942,6456,17.34
Chōfu,237637,11012,21.58
Machida,433938,6065,71.8
Koganei,124712,11036,11.3
Kodaira,194757,9496,20.51
Hino,188990,6860,27.55
Higashimurayama,150101,8757,17.14
Kokubunji,126317,11022,11.46
Kunitachi,75022,9205,8.15
Fussa,58184,5727,10.16
Komae,83003,12990,6.39
Higashiyamato,84480,6295,13.42
Kiyose,75400,7370,10.23
Higashikurume,116309,9030,12.88
Musashimurayama,71804,4687,15.32
Tama,147822,7036,21.01
Inagi,90774,5051,17.97
Hamura,55004,5556,9.9
Akiruno,80242,1092,73.47
Nishitōkyō,203258,12905,15.75
Mizuho,32867,1951,16.85
Hinode,17226,614,28.07
Hinohara,2073,19.7,105.41
Okutama,5023,22.3,225.53
